id,supermarket,category,name,description,trademark,trademark_propietary_flag,price,reference_price,reference_unit,insert_date,price_corrected
25862188,dia.es,despensa|conservas|conservas_de_carne,LA NOREÑENSE albóndigas de pollo lata 415 gr,,la noreñense,False,1.75,4.22,kg,2023-03-15,False
25869209,mercadona.es,limpieza_y_hogar|insecticida_y_ambientador,Difusor insecticida antimosquitos eléctrico,Caja,otras marcas,False,3.15,3.15,ud,2023-03-15,False
25858731,carrefour.es,bebidas|alcoholes|cockteles_y_combinados,Salitos pink 33 cl.,,otras marcas,False,1.69,5.12,l,2023-03-15,False
25860864,dia.es,frescos|verduras_y_hortalizas|tomates_pimientos_y_pepinos,Tomate Cherokee bandeja 400 gr,,,,1.89,4.73,kg,2023-03-15,False
25867881,mercadona.es,cuidado_del_cabello|acondicionador_y_mascarilla,Sérum Be Radiant 10 en 1 Deliplus cabello apagado,Bote,deliplus,True,4.05,4.05,100ml,2023-03-15,False
25869954,mercadona.es,mascotas|gato,"Bocaditos en salsa gato adulto Delikuit con pollo, pavo y verduras",Bote,otras marcas,False,0.7,1.75,kg,2023-03-15,False
25870162,mercadona.es,panaderia_y_pasteleria|harina_y_preparado_reposteria,Gasificante repostería casera Hacendado,Caja,hacendado,True,0.7,1.591,100g,2023-03-15,False
25870699,mercadona.es,zumos|naranja,Zumo de naranja selección Hacendado,Pack-3,hacendado,True,2.0,2.021,l,2023-03-15,False
25868155,mercadona.es,cuidado_facial_y_corporal|cuidado_corporal,Toallitas Refrescantes Deliplus,Paquete,deliplus,True,0.95,0.038,ud,2023-03-15,False
25864304,dia.es,cuidado_personal|cuidado_bucal,COLGATE pasta dentífrica sensitive blanqueador tubo 75 ml,,colgate,False,2.95,39.33,l,2023-03-15,False
25862682,dia.es,despensa|pan|biscotes,QUELY quelitas crujientes paquete 200 gr,,quely,False,1.59,7.95,kg,2023-03-15,False
25867993,mercadona.es,cuidado_del_cabello|coloracion_cabello,Coloración permanente L'Oréal 7 rubio,Caja,otras marcas,False,6.75,6.75,ud,2023-03-15,False
25856949,carrefour.es,la_despensa|panaderia_bolleria_y_pasteleria|bolleria,Berlina glace Donuts 4 ud.,,otras marcas,False,2.25,10.82,kg,2023-03-15,False
25860641,dia.es,frescos|charcuteria_y_quesos|quesos,DIA LACTEA queso emmental rallado bolsa 200 gr,,dia,True,2.07,10.35,kg,2023-03-15,False
25869337,mercadona.es,limpieza_y_hogar|limpieza_bano_y_wc,Limpiador Antical Bosque Verde,Botella,bosque verde,True,1.65,2.2,l,2023-03-15,False
25870242,mercadona.es,panaderia_y_pasteleria|pan_de_molde_y_otras_especialidades,Pan de molde 100% integral Hacendado 0% azúcares añadidos,Paquete,hacendado,True,1.25,2.718,kg,2023-03-15,False
25865428,mercadona.es,aceite_especias_y_salsas|especias,Cúrcuma Hacendado,Bote,hacendado,True,1.25,20.834,kg,2023-03-15,False
25860130,carrefour.es,parafarmacia|botiquin|mascarillas,Mascarillas quirúrgicas IIR desechables para adulto Soft Carrefour pack de 50 ud.,,carrefour,True,4.5,0.09,ud,2023-03-15,False
25864932,dia.es,cuidado_del_hogar|lavavajillas,FAIRY lavavajillas máquina platinum plus limón bolsa 16 cápsulas,,fairy,False,7.99,0.5,ud,2023-03-15,False
